"service_id","date","exception_type"
"GO102_1514","20150916","1"
"GO102_1514","20150917","1"
"GO102_1514","20150918","1"
"GO102_1514","20150922","1"
"GO102_1514","20150923","1"
"GO102_1514","20150924","1"
"GO102_1514","20150925","1"
"GO102_1514","20150929","1"
"GO102_1514","20150930","1"
"GO102_1514","20151001","1"
"GO102_1514","20151002","1"
"GO102_1514","20151006","1"
"GO102_1514","20151007","1"
"GO102_1514","20151008","1"
"GO102_1514","20151009","1"
"GO102_1514","20151013","1"
"GO102_1514","20151014","1"
"GO102_1514","20151015","1"
"GO102_1514","20151016","1"
"GO102_1514","20151020","1"
"GO102_1514","20151021","1"
"GO102_1514","20151022","1"
"GO102_1514","20151023","1"
"GO102_1514","20151027","1"
"GO102_1514","20151028","1"
"GO102_1514","20151029","1"
"GO102_1514","20151030","1"
"GO102_1514","20151103","1"
"GO102_1514","20151104","1"
"GO102_1514","20151105","1"
"GO102_1514","20151106","1"
"GO102_1514","20151110","1"
"GO102_1514","20151111","1"
"GO102_1514","20151112","1"
"GO102_1514","20151113","1"
"GO102_1515","20150911","1"
"GO102_1515","20150918","1"
"GO102_1515","20150925","1"
"GO102_1515","20151002","1"
"GO102_1515","20151009","1"
"GO102_1515","20151016","1"
"GO102_1515","20151023","1"
"GO102_1515","20151030","1"
"GO102_1515","20151106","1"
"GO102_1515","20151113","1"
"GO102_1516","20150908","1"
"GO102_1516","20150909","1"
"GO102_1516","20150910","1"
"GO102_1516","20150911","1"
"GO102_1516","20150914","1"
"GO102_1516","20150915","1"
"GO102_1516","20150916","1"
"GO102_1516","20150917","1"
"GO102_1516","20150918","1"
"GO102_1516","20150921","1"
"GO102_1516","20150923","1"
"GO102_1516","20150924","1"
"GO102_1516","20150925","1"
"GO102_1516","20150928","1"
"GO102_1516","20150929","1"
"GO102_1516","20150930","1"
"GO102_1516","20151001","1"
"GO102_1516","20151002","1"
"GO102_1516","20151005","1"
"GO102_1516","20151006","1"
"GO102_1516","20151007","1"
"GO102_1516","20151008","1"
"GO102_1516","20151009","1"
"GO102_1516","20151012","1"
"GO102_1516","20151013","1"
"GO102_1516","20151014","1"
"GO102_1516","20151015","1"
"GO102_1516","20151016","1"
"GO102_1516","20151019","1"
"GO102_1516","20151020","1"
"GO102_1516","20151021","1"
"GO102_1516","20151022","1"
"GO102_1516","20151023","1"
"GO102_1516","20151026","1"
"GO102_1516","20151027","1"
"GO102_1516","20151028","1"
"GO102_1516","20151029","1"
"GO102_1516","20151030","1"
"GO102_1516","20151102","1"
"GO102_1516","20151103","1"
"GO102_1516","20151104","1"
"GO102_1516","20151105","1"
"GO102_1516","20151106","1"
"GO102_1516","20151109","1"
"GO102_1516","20151110","1"
"GO102_1516","20151111","1"
"GO102_1516","20151112","1"
"GO102_1516","20151113","1"
"GO102_1517","20150908","1"
"GO102_1517","20150909","1"
"GO102_1517","20150910","1"
"GO102_1517","20150911","1"
"GO102_1517","20150914","1"
"GO102_1517","20150915","1"
"GO102_1517","20150916","1"
"GO102_1517","20150917","1"
"GO102_1517","20150918","1"
"GO102_1517","20150921","1"
"GO102_1517","20150922","1"
"GO102_1517","20150923","1"
"GO102_1517","20150924","1"
"GO102_1517","20150925","1"
"GO102_1517","20150928","1"
"GO102_1517","20150929","1"
"GO102_1517","20150930","1"
"GO102_1517","20151001","1"
"GO102_1517","20151002","1"
"GO102_1517","20151005","1"
"GO102_1517","20151006","1"
"GO102_1517","20151007","1"
"GO102_1517","20151008","1"
"GO102_1517","20151009","1"
"GO102_1517","20151012","1"
"GO102_1517","20151013","1"
"GO102_1517","20151014","1"
"GO102_1517","20151015","1"
"GO102_1517","20151016","1"
"GO102_1517","20151019","1"
"GO102_1517","20151020","1"
"GO102_1517","20151021","1"
"GO102_1517","20151022","1"
"GO102_1517","20151023","1"
"GO102_1517","20151026","1"
"GO102_1517","20151027","1"
"GO102_1517","20151028","1"
"GO102_1517","20151029","1"
"GO102_1517","20151030","1"
"GO102_1517","20151102","1"
"GO102_1517","20151103","1"
"GO102_1517","20151104","1"
"GO102_1517","20151105","1"
"GO102_1517","20151106","1"
"GO102_1517","20151109","1"
"GO102_1517","20151110","1"
"GO102_1517","20151111","1"
"GO102_1517","20151112","1"
"GO102_1517","20151113","1"
"GO102_1518","20150908","1"
"GO102_1518","20150909","1"
"GO102_1518","20150910","1"
"GO102_1518","20150914","1"
"GO102_1518","20150915","1"
"GO102_1518","20150916","1"
"GO102_1518","20150917","1"
"GO102_1518","20150921","1"
"GO102_1518","20150922","1"
"GO102_1518","20150923","1"
"GO102_1518","20150924","1"
"GO102_1518","20150928","1"
"GO102_1518","20150929","1"
"GO102_1518","20150930","1"
"GO102_1518","20151001","1"
"GO102_1518","20151005","1"
"GO102_1518","20151006","1"
"GO102_1518","20151007","1"
"GO102_1518","20151008","1"
"GO102_1518","20151012","1"
"GO102_1518","20151013","1"
"GO102_1518","20151014","1"
"GO102_1518","20151015","1"
"GO102_1518","20151016","1"
"GO102_1518","20151019","1"
"GO102_1518","20151020","1"
"GO102_1518","20151021","1"
"GO102_1518","20151022","1"
"GO102_1518","20151023","1"
"GO102_1518","20151026","1"
"GO102_1518","20151027","1"
"GO102_1518","20151028","1"
"GO102_1518","20151029","1"
"GO102_1518","20151030","1"
"GO102_1518","20151102","1"
"GO102_1518","20151103","1"
"GO102_1518","20151104","1"
"GO102_1518","20151105","1"
"GO102_1518","20151106","1"
"GO102_1518","20151109","1"
"GO102_1518","20151110","1"
"GO102_1518","20151111","1"
"GO102_1518","20151112","1"
"GO102_1518","20151113","1"
"GO102_1519","20150908","1"
"GO102_1519","20150909","1"
"GO102_1519","20150910","1"
"GO102_1519","20150911","1"
"GO102_1519","20150914","1"
"GO102_1519","20150915","1"
"GO102_1519","20150916","1"
"GO102_1519","20150917","1"
"GO102_1519","20150918","1"
"GO102_1519","20150921","1"
"GO102_1519","20150922","1"
"GO102_1519","20150923","1"
"GO102_1519","20150924","1"
"GO102_1519","20150925","1"
"GO102_1519","20150928","1"
"GO102_1519","20150929","1"
