"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","shape_id"
"6","GO102_1573","GO102_156802","Long Beach","6802","0","59"
"6","GO102_1573","GO102_156804","Long Beach","6804","0","162"
"6","GO102_1573","GO102_156805","Jamaica","6805","1","56"
"6","GO102_1573","GO102_156806","Long Beach","6806","0","57"
"6","GO102_1573","GO102_156807","Penn Station","6807","1","60"
"6","GO102_1573","GO102_156808","Long Beach","6808","0","57"
"6","GO102_1573","GO102_156809","Penn Station","6809","1","60"
"6","GO102_1573","GO102_156810","Long Beach","6810","0","57"
"6","GO102_1573","GO102_156812","Long Beach","6812","0","57"
"6","GO102_1573","GO102_156813","Penn Station","6813","1","60"
"6","GO102_1573","GO102_156814","Long Beach","6814","0","57"
"6","GO102_1573","GO102_156815","Penn Station","6815","1","60"
"6","GO102_1573","GO102_156817","Penn Station","6817","1","60"
"6","GO102_1573","GO102_156818","Long Beach","6818","0","57"
"6","GO102_1573","GO102_156819","Penn Station","6819","1","60"
"6","GO102_1573","GO102_156820","Long Beach","6820","0","57"
"6","GO102_1573","GO102_156821","Penn Station","6821","1","60"
"6","GO102_1573","GO102_156850","Long Beach","6850","0","57"
"6","GO102_1573","GO102_156851","Penn Station","6851","1","60"
"6","GO102_1573","GO102_156852","Long Beach","6852","0","57"
"6","GO102_1573","GO102_156853","Penn Station","6853","1","60"
"6","GO102_1573","GO102_156854","Long Beach","6854","0","57"
"6","GO102_1573","GO102_156855","Penn Station","6855","1","60"
"6","GO102_1573","GO102_156856","Long Beach","6856","0","57"
"6","GO102_1573","GO102_156857","Penn Station","6857","1","60"
"6","GO102_1573","GO102_156858","Long Beach","6858","0","57"
"6","GO102_1573","GO102_156859","Penn Station","6859","1","60"
"6","GO102_1573","GO102_156860","Long Beach","6860","0","57"
"6","GO102_1573","GO102_156862","Long Beach","6862","0","57"
"6","GO102_1573","GO102_156864","Long Beach","6864","0","57"
"6","GO102_1573","GO102_156865","Penn Station","6865","1","60"
"6","GO102_1573","GO102_156866","Long Beach","6866","0","57"
"6","GO102_1573","GO102_156867","Penn Station","6867","1","60"
"6","GO102_1573","GO102_156868","Long Beach","6868","0","57"
"6","GO102_1573","GO102_156869","Penn Station","6869","1","60"
"6","GO102_1573","GO102_156870","Long Beach","6870","0","57"
"6","GO102_1573","GO102_156871","Penn Station","6871","1","60"
"6","GO102_1573","GO102_156872","Long Beach","6872","0","57"
"6","GO102_1573","GO102_156875","Penn Station","6875","1","60"
"6","GO102_1573","GO102_156877","Penn Station","6877","1","60"
"6","GO102_1573","GO102_156879","Penn Station","6879","1","60"
"8","GO102_1573","GO102_156900","West Hempstead","6900","0","62"
"8","GO102_1573","GO102_156901","Valley Stream","6901","1","63"
"8","GO102_1573","GO102_156902","West Hempstead","6902","0","62"
"8","GO102_1573","GO102_156903","Valley Stream","6903","1","63"
"8","GO102_1573","GO102_156904","West Hempstead","6904","0","62"
"8","GO102_1573","GO102_156905","Valley Stream","6905","1","63"
"8","GO102_1573","GO102_156906","West Hempstead","6906","0","62"
"8","GO102_1573","GO102_156951","Valley Stream","6951","1","63"
"8","GO102_1573","GO102_156952","West Hempstead","6952","0","62"
"8","GO102_1573","GO102_156953","Valley Stream","6953","1","63"
"8","GO102_1573","GO102_156954","West Hempstead","6954","0","62"
"8","GO102_1573","GO102_156955","Valley Stream","6955","1","63"
"8","GO102_1573","GO102_156956","West Hempstead","6956","0","62"
"8","GO102_1573","GO102_156957","Valley Stream","6957","1","63"
"8","GO102_1573","GO102_156958","West Hempstead","6958","0","62"
"8","GO102_1573","GO102_156959","Valley Stream","6959","1","63"
"8","GO102_1573","GO102_156960","West Hempstead","6960","0","62"
"8","GO102_1573","GO102_156961","Valley Stream","6961","1","63"
"12","GO102_1573","GO102_157481","Atlantic Terminal","7481","1","163"
"10","GO102_1545","GO102_157601","Penn Station","7601","1","91"
"10","GO102_1573","GO102_157602","Huntington","7602","0","92"
"10","GO102_1573","GO102_157603","Penn Station","7603","1","91"
"10","GO102_1573","GO102_157604","Huntington","7604","0","92"
"10","GO102_1544","GO102_157605","Penn Station","7605","1","91"
"10","GO102_1544","GO102_157606","Huntington","7606","0","92"
"10","GO102_1573","GO102_157607","Penn Station","7607","1","91"
"10","GO102_1544","GO102_157608","Huntington","7608","0","92"
"10","GO102_1573","GO102_157609","Penn Station","7609","1","91"
"10","GO102_1573","GO102_157610","Huntington","7610","0","92"
"10","GO102_1544","GO102_157611","Penn Station","7611","1","91"
"10","GO102_1544","GO102_157612","Huntington","7612","0","92"
"10","GO102_1573","GO102_157613","Penn Station","7613","1","91"
"10","GO102_1573","GO102_157614","Huntington","7614","0","92"
"10","GO102_1573","GO102_157615","Penn Station","7615","1","91"
"10","GO102_1544","GO102_157616","Huntington","7616","0","92"
"10","GO102_1573","GO102_157617","Penn Station","7617","1","91"
"10","GO102_1573","GO102_157618","Huntington","7618","0","92"
"10","GO102_1573","GO102_157619","Penn Station","7619","1","91"
"10","GO102_1544","GO102_157620","Huntington","7620","0","92"
"10","GO102_1573","GO102_157621","Penn Station","7621","1","91"
"10","GO102_1573","GO102_157622","Huntington","7622","0","92"
"10","GO102_1573","GO102_157623","Penn Station","7623","1","91"
"10","GO102_1544","GO102_157624","Huntington","7624","0","92"
"10","GO102_1573","GO102_157625","Penn Station","7625","1","91"
"10","GO102_1573","GO102_157626","Huntington","7626","0","92"
"10","GO102_1573","GO102_157627","Penn Station","7627","1","91"
"10","GO102_1544","GO102_157628","Huntington","7628","0","92"
"10","GO102_1573","GO102_157629","Penn Station","7629","1","91"
"10","GO102_1573","GO102_157630","Huntington","7630","0","92"
"10","GO102_1573","GO102_157631","Penn Station","7631","1","91"
"10","GO102_1544","GO102_157700","Huntington","7700","0","92"
"10","GO102_1573","GO102_157701","Penn Station","7701","1","91"
"10","GO102_1573","GO102_157702","Huntington","7702","0","92"
"10","GO102_1573","GO102_157703","Penn Station","7703","1","91"
"10","GO102_1544","GO102_157704","Huntington","7704","0","92"
"10","GO102_1573","GO102_157705","Penn Station","7705","1","91"
"10","GO102_1573","GO102_157706","Huntington","7706","0","92"
"10","GO102_1573","GO102_157707","Penn Station","7707","1","91"
"10","GO102_1544","GO102_157708","Huntington","7708","0","92"
"10","GO102_1573","GO102_157709","Penn Station","7709","1","91"
"10","GO102_1573","GO102_157710","Huntington","7710","0","92"
"10","GO102_1573","GO102_157711","Penn Station","7711","1","91"
"10","GO102_1544","GO102_157712","Huntington","7712","0","92"
"10","GO102_1573","GO102_157713","Penn Station","7713","1","91"
"10","GO102_1573","GO102_157714","Huntington","7714","0","92"
"10","GO102_1573","GO102_157715","Penn Station","7715","1","91"
"10","GO102_1544","GO102_157716","Huntington","7716","0","92"
"10","GO102_1573","GO102_157717","Penn Station","7717","1","91"
